PC1,PC2,숙박업명
2.221834739398112,-0.8170847288119596,히든 클리프 호텔 앤 네이처
1.8273765046775687,-0.14684922313410928,스위트 호텔 제주
3.4980225184215943,-1.4104358874001743,제주 신라 호텔
2.9594980406732936,-2.545303468501095,롯데호텔 제주
2.501590200722219,0.6597423884378422,WE 호텔 제주
3.46883346822032,-1.0231987728654557,그랜드 조선 제주
-1.4495294043418012,1.3545972803545459,메이더호텔
1.4242188552748236,-1.4142566728610952,라마다프라자제주호텔
-0.7010454742080869,0.6328175316556706,오션그랜드호텔
-1.5497674013397766,0.161356462194278,엠버시티호텔(구.아이비호텔)
-1.3415329755108816,-0.5210001380600028,엠버호텔
0.7604560664053207,-1.8892732754917592,롯데시티호텔 제주
0.5761398037173961,0.47757475686147854,그라벨호텔
-0.7246214157277823,-0.2569010511536753,아이진호텔
-0.2054633948327292,0.011916496300488591,아스타호텔
-0.2365844677149903,-1.944751534895458,신라스테이제주
-0.5980702197621032,-0.21202842560110838,베니키아호텔제주(구. 뉴베니키아호텔제주)
-1.0961312891411061,-1.3399912810752395,호텔더원
-0.4443675374137274,1.027214484385697,탐라스테이
-1.712556035367554,-0.3074136838090663,어반아일랜드호텔
-0.211696420355379,-1.4798375637770136,호텔 시리우스
2.82910863331239,-2.633655399086397,그랜드하얏트 제주
-0.1212943070715491,0.24224287741982914,다인리조트
1.4057256569209295,0.3062956689902376,올레리조트
-0.776829542467916,-1.8650972278851348,베스트웨스턴 제주호텔
2.7653526023739867,0.46086015553933096,에코그린리조트(구.에코패밀리호텔)
-0.34276870961944317,0.6780425955737838,수앤수리조트(구.수앤수가족호텔)
-1.9420177286892157,-0.08118297334816663,그린트리인 서귀포(그랜드밀리언스)
-0.8022967434349649,-0.5388103740038448,더베스트제주성산
-1.5149617886441415,-0.5786648258497666,골든데이지호텔서귀포오션
-1.624330521091357,-0.03017870452033708,이스턴 호텔 제주
0.04857353347702887,-0.349412258187615,라마다제주시티
0.2131947923679851,-0.4850915756756915,라마다제주함덕
1.4607795580177736,-1.417103287517613,라마다프라자제주
-0.9245300179827168,-1.3351610440261166,신신호텔 제주공항
-0.41852428171281614,-0.9070739765249178,제주 리젠트마린 더 블루
-0.9142513488112953,-1.85110142299389,베스트웨스턴 제주
-0.8064342420896058,0.0010308171552837185,브라운 스위트 제주
-1.0899783472911693,-1.5072923580975568,제주 센트럴 시티
-0.4000049309259734,-0.3429519452031102,골든튤립제주성산
-1.0357856089689268,-0.6942549382008124,오션팰리스
-0.17962686738840508,0.6410098006465921,코업시티성산
-1.1033697590626677,-1.8799552062050036,글로스터 제주
-1.63012863419407,-1.432083427124591,호텔위드제주
-0.3696841385972704,-1.1547648014258682,휘슬락
-2.201815961400984,-0.6957726324976043,호텔 케니 서귀포
2.8204361406699032,1.402523027852802,엠버리조트
-1.9810904992667477,1.6413445097387165,알리바호텔
-1.9069992897487087,0.2661056990860332,노형호텔
-1.9248274805390015,-0.04766066114475541,호텔 위드스테이 제주
-2.1529470947751483,-0.3522860319255675,위드시티호텔
-1.7422338173566665,-1.3968264590970494,아시아호텔 제주
3.469067100749549,-0.5351584703536157,해비치 호텔 & 리조트
3.4295471589461473,0.009230009290315224,휘닉스 제주 섭지코지
-0.5634160794877808,1.3040141421973268,베니키아 중문 호텔
0.5012732201780028,-0.028399682186629055,빠레브 호텔 제주
1.8762411299983246,0.8305918395636381,제주 골드원 호텔 스위트
2.8075709458347307,0.6740547094184565,호텔 토스카나
-0.03067112636975537,-1.0873551607358116,오션 스위츠 제주 호텔
-0.9063087475740152,-0.5169747964731806,호텔 앨리스 앤 트렁크
-0.8425100694760124,-0.8698332239386039,호텔 레오 제주
-1.8848172620744759,0.7524791468311621,코델리아s 호텔 앤 리조트
-1.2608013527248279,-0.6704672166314007,신신호텔 서귀포점
-0.566361683636902,2.0108900671609216,파밀리아 호텔
-0.7053439142494812,2.220336043381564,돔베리조트
-0.9128568498520268,2.0020363408835395,제주 일레인 호텔
-1.6162759903008825,0.46967915258357085,제주 웨스턴그레이스 강정
-1.2652154202760433,2.0931757264385684,중문 썬라이즈호텔
-0.6235499859022553,1.8429487442730688,중문 리조트
1.4810087335962112,0.4525005397494442,켄싱턴리조트 서귀포
1.7221206395399125,0.44533036680558435,금호 제주 리조트
1.077607196326788,1.412079680996144,켄싱턴리조트 제주한림
1.9206475828910912,1.7293128852330564,켄싱턴리조트 제주중문
2.173710709377258,0.1785626686087981,소노캄 제주
2.0090018136412198,2.1591712980136313,썬 앤 문 리조트
1.709803475488911,1.7479011766066392,와이리조트 제주
1.3916542388626978,0.775357318906148,더 그랜드 섬오름
-1.3981793658484594,-1.2456551831621125,호텔 스카이파크 제주 1호점
3.731053033384813,-1.1007737633967098,파르나스 호텔 제주
-0.14445971195525217,0.5680488198856092,한림 리조트
-0.7882225484383452,0.11861073488410717,플레이스 캠프 제주
1.536179069172803,1.8206093034610566,호텔 스카브로
0.20941979285761514,-0.4106672670439746,카사로마 호텔
-1.55952004952994,-0.2046140978812422,어반스테이 제주연동
-0.912608353820318,-0.3393177061301651,벤티모 호텔 앤 레지던스 제주
-0.26029394154181795,0.016092871178321172,파크 선샤인 제주
-1.514991328798499,0.0695014641863014,제주 노블피아 호텔
0.1705836949491567,3.092731712120829,호텔 화인
-1.945278896952822,-0.10037064095131208,"헤이, 서귀포"
-1.4299220033735052,-0.8422270031746436,신신호텔 천지연
-1.3552290309527018,-0.1878690777798316,신신호텔 제주월드컵
-1.2107429913128123,0.9988904986408292,호텔 케니 모슬포
-0.9545841601079484,1.7229239216691685,담모라 리조트
-0.08991187911745156,1.3932056462717464,산방산 호텔
0.31712730503963704,0.20645540470781562,블룸 호텔
0.6054124850354997,1.942993741677885,르메인 호텔 협재
