숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1분기평균가격_standard,2분기평균가격_standard,객실수_standard,주변숙박업소수_standard,UMAP1,UMAP2,UMAP3,kmeans_cluster
호텔 케니 서귀포,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포, 신신호텔 천지연",49602,50343,324,1,1,1,0,0,0,0,0,1,1,0,8,1.0,0.0,10.811806594754911,10.82663472520677,5.783825182329737,2.1972245773362196,-0.8490297272560097,-0.9601523781388854,0.5870864020073474,0.24092986542066167,-1.5182533410174377,-1.6266420036409248,0.9619168763808799,0.6479436683616581,9.561818,5.6664023,13.331691,2
엠버리조트,제주,제주시,없음,398731,512482,20,1,1,1,0,1,0,0,1,1,1,0,0,0.0,1.0,12.896044790996472,13.147022818712832,3.044522437723423,0.0,1.549119635817907,1.7372167403019159,-1.3224841440266568,-0.6596979530153685,1.98698070698701,2.207481742327889,-1.8395038405940634,-1.260372094551657,11.856287,5.5579753,8.489899,0
알리바호텔,제주,제주시,아스타호텔,62267,53700,28,1,1,0,1,0,0,0,0,0,0,0,1,0.0,1.0,11.03920292915574,10.891186902297498,3.367295829986474,0.6931471805599453,-0.5873847888357903,-0.8851127545948947,-1.0974785055945369,-0.3755815092426466,-1.1358223045022564,-1.5199783658941988,-1.5094110570364927,-0.6583654975359442,10.648709,5.9235654,10.669247,3
노형호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주",75777,75197,48,1,0,0,0,0,0,0,0,0,1,0,12,0.0,1.0,11.2355632920364,11.227879913839578,3.8918202981106265,2.5649493574615367,-0.3614502099453461,-0.4937190328850979,-0.731832000484353,0.39165782009821193,-0.8055870027555728,-0.9636392456116601,-0.9729921765543925,0.9673170276282452,13.283955,5.7769575,12.941906,1
호텔 위드스테이 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",64612,82061,50,1,1,1,1,0,0,0,0,0,0,0,20,0.0,1.0,11.076170907915058,11.315230338109606,3.9318256327243257,3.044522437723423,-0.5448489909237971,-0.3921772530560767,-0.7039442437137761,0.5882316530654998,-1.0736502274015027,-0.8193046246698169,-0.9320796584338594,1.3838319701482102,13.207295,5.8915725,13.063315,1
위드시티호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",59231,79338,93,1,0,0,1,0,0,0,0,0,0,0,20,0.0,1.0,10.989217215373223,11.281485090006031,4.543294782270004,3.044522437723423,-0.6448989481514106,-0.4314049108704946,-0.27768851857350885,0.5882316530654998,-1.21988737258336,-0.8750640286374647,-0.306744489949407,1.3838319701482102,13.439177,5.6704307,12.67376,1
아시아호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",75509,88410,352,1,0,0,1,0,0,0,0,0,0,0,23,0.0,1.0,11.232020376797472,11.389751675273558,5.8664680569332965,3.1780538303479458,-0.3655267305364094,-0.30554883339924427,0.6446968284172324,0.6429652875208123,-0.8115454134339096,-0.696168314325311,1.0464338073702095,1.4998055779521389,13.548589,5.661301,12.368495,1
해비치 호텔 & 리조트,제주,서귀포시,없음,372464,432991,503,1,1,1,1,1,1,1,1,1,1,1,0,1.0,0.0,12.827898352655716,12.978474531063371,6.222576268071369,0.0,1.470709529910943,1.5412853151476065,0.8929402007604565,-0.6596979530153685,1.87237326127711,1.9289787652492862,1.410617328936555,-1.260372094551657,12.902409,4.8428826,8.1518135,4
휘닉스 제주 섭지코지,제주,서귀포시,없음,383738,469491,300,1,1,1,1,0,1,1,1,1,1,1,0,1.0,0.0,12.857717912977595,13.059406538081662,5.707110264748875,0.0,1.5050202721869526,1.6353659118527546,0.5336083600704772,-0.6596979530153685,1.9225232577243778,2.0627078301355315,0.8834623281075241,-1.260372094551657,12.783841,4.9006495,8.228903,4
베니키아 중문 호텔,제주,서귀포시,중문 썬라이즈호텔,89092,106694,45,1,1,1,1,0,0,0,0,1,1,0,1,1.0,0.0,11.397436046960738,11.577729575835725,3.828641396489095,0.6931471805599453,-0.17519748469501586,-0.0870311701924879,-0.7758740728346274,-0.3755815092426466,-0.5333523354184856,-0.38556056113099124,-1.0376037585442892,-0.6583654975359442,10.385346,5.583657,10.854837,3
빠레브 호텔 제주,제주,서귀포시,제주 웨스턴그레이스 강정,120024,122193,204,1,1,1,1,1,0,1,1,1,1,0,1,1.0,0.0,11.69545533339914,11.713365224677862,5.3230099791384085,0.6931471805599453,0.16770706587160486,0.07064047601633758,0.2658516860156683,-0.3755815092426466,-0.03214889731356113,-0.16144121511256487,0.49065196801722366,-0.6583654975359442,11.351732,5.14452,10.592146,3
제주 골드원 호텔 스위트,제주,서귀포시,돔베리조트,272320,276777,51,1,1,1,1,1,1,0,0,1,1,0,1,1.0,0.0,12.514736796510816,12.530971019798182,3.9512437185814275,0.6931471805599453,1.1103821029583052,1.0210783053552623,-0.6904078776125512,-0.3755815092426466,1.3457038282417617,1.1895404601880981,-0.9122212371216502,-0.6583654975359442,11.764571,5.221012,8.6318865,0
호텔 토스카나,제주,서귀포시,없음,361580,346852,97,1,1,1,1,1,1,0,1,1,1,0,0,1.0,0.0,12.798241361871874,12.756656338048062,4.584967478670572,0.0,1.4365858420871562,1.2834295084304734,-0.24863844231704912,-0.6596979530153685,1.8224966713343989,1.5624545603078475,-0.26412680000672867,-1.260372094551657,12.125289,5.0985937,8.490739,0
오션 스위츠 제주 호텔,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락",127521,142130,350,1,1,1,1,1,0,0,0,1,0,0,4,0.0,1.0,11.756044177715356,11.864504446520591,5.860786223465865,1.6094379124341003,0.23742131382480675,0.24633447768989303,0.6407360169084497,0.0,0.06974832365159346,0.08829566340195331,1.0406231294459076,0.13744393636666102,12.828868,5.7803326,10.715298,5
호텔 앨리스 앤 트렁크,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",103676,134091,80,1,0,1,0,0,0,0,0,1,1,0,19,0.0,1.0,11.549035575982286,11.806281410517814,4.394449154672439,2.995732273553991,-0.0007652558735103356,0.178652256885846,-0.3814489469985549,0.5682328875454438,-0.2783949933325338,-0.007909934931101243,-0.45896542485847724,1.3414571303980865,13.173457,6.171021,12.477504,1
호텔 레오 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",113133,115861,95,1,1,1,1,0,0,0,0,1,1,0,22,0.0,1.0,11.636328235848707,11.66015510671464,4.564348191467836,3.1354942159291497,0.09967472120645228,0.008785595195208022,-0.2630121670176461,0.6255203831251276,-0.1315877790436798,-0.24936365247532832,-0.2852136617830466,1.4628420450039665,13.020079,6.0056515,12.200542,1
코델리아s 호텔 앤 리조트,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 골든튤립제주성산, 플레이스 캠프 제주",54557,52946,78,1,0,1,0,0,1,0,0,1,1,0,4,1.0,0.0,10.907019634953969,10.877046692200675,4.3694478524670215,1.6094379124341003,-0.7394764659630104,-0.9015502488874136,-0.39887737852112537,0.0,-1.358125774541791,-1.5433431277876708,-0.4845336706785186,0.13744393636666102,9.226449,5.14788,12.701254,2
신신호텔 서귀포점,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",78539,79890,222,1,1,1,1,0,0,0,0,1,1,0,10,1.0,0.0,11.271363328132,11.288418484608913,5.407171771460119,2.3978952727983707,-0.3202582608123215,-0.4233450847835922,0.3245209514100876,0.32318345594677145,-0.745379150472481,-0.8636075429911716,0.5767222605586444,0.8222285617927414,9.89124,5.7696586,13.066524,2
파밀리아 호텔,제주,서귀포시,없음,84028,99966,28,1,1,1,1,0,0,0,0,1,1,0,0,1.0,0.0,11.33891725633973,11.512595410508247,3.367295829986474,0.0,-0.24252990414145492,-0.16274733448476894,-1.0974785055945369,-0.6596979530153685,-0.6317681775725593,-0.49318585478546884,-1.5094110570364927,-1.260372094551657,10.173222,5.6169934,10.484446,3
돔베리조트,제주,서귀포시,제주 골드원 호텔 스위트,104687,101668,20,1,0,1,1,0,0,0,0,0,0,0,1,1.0,0.0,11.55873977710952,11.529477717477745,3.044522437723423,0.6931471805599453,0.010400513852035297,-0.14312224952807356,-1.3224841440266568,-0.3755815092426466,-0.26207464364255767,-0.46529015310537547,-1.8395038405940634,-0.6583654975359442,10.154162,5.6346364,9.919159,3
제주 일레인 호텔,제주,서귀포시,없음,91996,74121,42,1,0,1,1,0,0,0,0,0,1,0,0,1.0,0.0,11.42951124680385,11.213467663305627,3.7612001156935624,0.0,-0.13829137664415284,-0.5104727645674441,-0.8228874537570293,-0.6596979530153685,-0.4794088452793233,-0.9874535170948322,-1.1065743758197748,-1.260372094551657,10.041864,5.7773733,10.309109,3
제주 웨스턴그레이스 강정,제주,서귀포시,빠레브 호텔 제주,63105,62984,300,1,0,1,0,0,0,0,0,0,0,0,1,1.0,0.0,11.052571131172039,11.050651881786404,5.707110264748875,0.6931471805599453,-0.5720031759238684,-0.6997403540253663,0.5336083600704772,-0.3755815092426466,-1.1133399044806895,-1.2564843123692915,0.8834623281075241,-0.6583654975359442,9.218127,5.421756,12.422466,2
중문 썬라이즈호텔,제주,서귀포시,베니키아 중문 호텔,69272,76510,29,1,0,1,0,0,1,0,0,0,0,0,1,1.0,0.0,11.145810498870537,11.245189800327386,3.4011973816621555,0.6931471805599453,-0.46472084578387685,-0.4735969018559816,-1.073845701709607,-0.3755815092426466,-0.9565316246686529,-0.9350370272979771,-1.4747407346747707,-0.6583654975359442,9.791685,5.573924,10.248185,3
중문 리조트,제주,서귀포시,없음,84982,83498,48,1,1,1,0,0,1,0,0,1,0,0,0,1.0,0.0,11.350206515469786,11.33258993471933,3.8918202981106265,0.0,-0.22954034774567444,-0.3719973357677977,-0.731832000484353,-0.6596979530153685,-0.6127821060425516,-0.7906202671832145,-0.9729921765543925,-1.260372094551657,9.927913,5.5253835,10.713037,3
켄싱턴리조트 서귀포,제주,서귀포시,없음,213684,222314,246,1,1,1,1,0,1,0,0,1,0,0,0,1.0,0.0,12.272258246985931,12.311850574059125,5.5093883366279774,0.0,0.8313833876719293,0.7663585344645012,0.3957762161104339,-0.6596979530153685,0.93790779550518,0.8274739133950746,0.6812567461473894,-1.260372094551657,12.094247,4.879724,7.9385624,4
금호 제주 리조트,제주,서귀포시,없음,204588,196893,242,1,1,1,1,0,1,1,1,1,0,0,0,1.0,0.0,12.228758367613498,12.190420791841952,5.493061443340548,0.0,0.7813319068964074,0.6252007059407872,0.3843947232866475,-0.6596979530153685,0.8647504862613054,0.6268278176968289,0.6645596150291505,-1.260372094551657,12.190264,4.949759,7.9862475,4
켄싱턴리조트 제주한림,제주,제주시,없음,222088,238051,44,1,1,1,1,0,0,0,0,0,0,0,0,0.0,1.0,12.310833481416022,12.380244416183675,3.8066624897703196,0.0,0.8757685131560362,0.8458639577833762,-0.7911955895917079,-0.6596979530153685,1.0027829260818761,0.9404853768229678,-1.060081071334806,-1.260372094551657,11.158857,5.7096095,9.026402,0
켄싱턴리조트 제주중문,제주,서귀포시,없음,270408,309145,52,1,0,1,1,0,1,0,0,0,0,1,0,1.0,0.0,12.507690906620715,12.641568936200114,3.970291913552122,0.0,1.1022750178935057,1.1496444728430935,-0.6771293627996956,-0.6596979530153685,1.333854178242156,1.3722883801235934,-0.8927410945499863,-1.260372094551657,11.32527,5.496879,8.479694,0
소노캄 제주,제주,서귀포시,없음,250237,246118,331,1,1,1,1,0,1,1,1,1,0,0,0,1.0,0.0,12.430167743979778,12.413570437787502,5.805134968916488,0.0,1.0130759410096415,0.8846042796141212,0.6019414744846241,-0.6596979530153685,1.2034771274386484,0.9955520663769706,0.9837098956942738,-1.260372094551657,12.373986,5.0486217,7.948892,4
썬 앤 문 리조트,제주,서귀포시,없음,237473,236643,20,1,0,1,1,0,1,1,1,1,1,1,0,1.0,0.0,12.37781342277994,12.374312181114817,3.044522437723423,0.0,0.9528364337086217,0.8389679442575131,-1.3224841440266568,-0.6596979530153685,1.115428578304122,0.930683170283539,-1.8395038405940634,-1.260372094551657,11.047034,5.4240017,8.59039,0
와이리조트 제주,제주,서귀포시,없음,192030,197789,32,1,1,1,1,0,1,1,1,1,1,1,0,1.0,0.0,12.165412096310257,12.194961140775455,3.4965075614664802,0.0,0.7084449305167811,0.6304787010461972,-1.0074048848083337,-0.6596979530153685,0.7582158745328335,0.6343301228972595,-1.3772692475351427,-1.260372094551657,11.257726,5.3434706,8.346068,0
더 그랜드 섬오름,제주,서귀포시,없음,166830,207742,132,1,1,1,1,0,1,0,1,1,1,0,0,1.0,0.0,12.024736602957512,12.244057017805863,4.890349128221754,0.0,0.5465820276142497,0.6875509222471311,-0.035756604254267604,-0.6596979530153685,0.5216303777748054,0.7154543402117124,0.048179855882674295,-1.260372094551657,11.848297,5.0228786,8.104215,0
호텔 스카이파크 제주 1호점,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",80098,93323,144,1,1,0,0,1,0,0,0,1,1,0,21,0.0,1.0,11.291018648584012,11.443832588482943,4.976733742420574,3.091042453358316,-0.2976426143339078,-0.24268168389251898,0.02446219238271591,0.6072998997194934,-0.7123231885401698,-0.6068070069991416,0.13652337626243544,1.4242351588084543,13.488727,6.0044475,11.861503,1
파르나스 호텔 제주,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",504225,601006,307,1,1,1,1,1,1,1,1,1,1,1,4,1.0,0.0,13.130779859244988,13.306361860704092,5.730099782973575,1.6094379124341003,1.8192086090583004,1.9224427429831101,0.5496343750685775,0.0,2.3817538931655764,2.470767701374297,0.9069731695998551,0.13744393636666102,13.209153,5.110467,8.491984,4
한림 리조트,제주,제주시,르메인 호텔 협재,101328,131943,93,1,1,1,1,0,1,0,0,1,0,0,1,0.0,1.0,11.526127927647984,11.790132869127989,4.543294782270004,0.6931471805599453,-0.027123069659617603,0.15988014847230886,-0.27768851857350885,-0.3755815092426466,-0.3169206613900061,-0.034593189417179204,-0.306744489949407,-0.6583654975359442,11.325168,6.162141,10.214907,3
플레이스 캠프 제주,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 골든튤립제주성산, 코델리아s 호텔 앤 리조트",100822,95485,177,1,0,1,1,0,0,0,0,1,0,0,4,1.0,0.0,11.521121783194713,11.466734918863812,5.181783550292085,1.6094379124341003,-0.032883199261750325,-0.21605853456565635,0.16740260827955109,0.0,-0.32533990445851696,-0.5689640405587152,0.34622300910295883,0.13744393636666102,9.563025,5.4870033,12.39157,2
호텔 스카브로,제주,서귀포시,없음,206546,201781,40,1,0,1,1,0,1,1,1,0,1,0,0,1.0,0.0,12.238283268391182,12.214943185698361,3.713572066704308,0.0,0.7922913714981675,0.6537071217785694,-0.8560890119615847,-0.6596979530153685,0.8807692918709562,0.6673477173015521,-1.1552824652817049,-1.260372094551657,11.21756,5.3091426,8.248496,0
카사로마 호텔,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",125359,162639,100,1,1,1,1,1,1,0,0,1,1,0,10,1.0,0.0,11.738944877029903,11.999294448302228,4.61512051684126,2.3978952727983707,0.21774665421930894,0.4030230890898109,-0.22761873075812875,0.32318345594677145,0.04099102946717656,0.31101769339189134,-0.2332899945541646,0.8222285617927414,10.556754,5.5290866,12.207731,2
어반스테이 제주연동,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 벤티모 호텔 앤 레지던스 제주",84609,104162,67,1,0,1,0,0,0,0,0,0,0,0,23,0.0,1.0,11.345807741918547,11.553712258870949,4.219507705176107,3.1780538303479458,-0.23460162913339352,-0.11495045200137988,-0.5034007976643716,0.6429652875208123,-0.6201798837289356,-0.4252458902993421,-0.6378739452261609,1.4998055779521389,13.450244,6.028961,12.995852,1
벤티모 호텔 앤 레지던스 제주,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 글로스터 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",105321,112950,89,1,0,1,1,1,0,0,0,0,0,0,12,0.0,1.0,11.56477760317548,11.634709375331946,4.499809670330265,2.5649493574615367,0.017347708640300365,-0.020794167871112136,-0.30800203142440435,0.39165782009821193,-0.25192033712399614,-0.2914092409701899,-0.35121569478714265,0.9673170276282452,13.62795,6.1723614,12.838749,1
파크 선샤인 제주,제주,서귀포시,"오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 헤이, 서귀포, 신신호텔 천지연",117216,120502,105,1,1,1,1,0,0,0,0,1,1,1,6,1.0,0.0,11.671782196800681,11.6994299278685,4.663439094112067,1.9459101490553132,0.14046847214564231,0.0544411861755241,-0.1939358046323923,0.13791774384748479,-0.07196194966890827,-0.18446738584384273,-0.18387571800232339,0.42967408869155277,10.245885,5.586461,12.243776,2
제주 노블피아 호텔,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",80023,81338,121,1,1,0,0,0,0,0,0,0,0,0,9,1.0,0.0,11.290081868665016,11.306380885311386,4.804021044733257,2.302585092994046,-0.29872048449775596,-0.40246442905039514,-0.09593599327937151,0.284116443772722,-0.7138986480406598,-0.8339271342437293,-0.04010585186452643,0.739450533382374,9.795477,5.993828,12.754077,2
호텔 화인,제주,서귀포시,"오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포",175886,215425,1,1,0,1,1,0,0,0,0,0,0,0,6,1.0,0.0,12.077597022366296,12.280372742083964,0.6931471805599453,1.9459101490553132,0.6074038575594022,0.7297666677319946,-2.961630069972063,0.13791774384748479,0.6105300737105142,0.7754611042510565,-4.244200207861328,0.42967408869155277,10.324318,5.5906715,9.5116005,3
"헤이, 서귀포",제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 신신호텔 천지연",55185,62954,139,1,0,1,1,0,0,0,0,1,1,0,9,1.0,0.0,10.918464576908981,11.050175464435801,4.941642422609304,2.302585092994046,-0.7263077790493335,-0.7002941723511033,0.0,0.284116443772722,-1.3388778784565512,-1.2572715268365826,0.1006363059125628,0.739450533382374,9.136732,5.4885445,12.879609,2
신신호텔 천지연,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 헤이, 서귀포",67509,75679,312,1,1,1,1,0,0,0,0,1,1,0,9,1.0,0.0,11.120031014035916,11.23426920372576,5.746203190540153,2.302585092994046,-0.4943830289489307,-0.48629170929384863,0.5608600757840119,0.284116443772722,-0.9998870953366767,-0.9530818185411434,0.9234417471091242,0.739450533382374,9.582873,5.8551702,13.036989,2
신신호텔 제주월드컵,제주,서귀포시,"그린트리인 서귀포(그랜드밀리언스), 이스턴 호텔 제주",61475,62272,243,1,1,1,1,1,0,0,0,1,1,0,2,1.0,0.0,11.026402133727203,11.039283223998446,5.497168225293202,1.0986122886681096,-0.6021135369506382,-0.7129560167505724,0.38725756488793206,-0.2093840437973535,-1.1573504504015888,-1.2752694633992394,0.6687595246831369,-0.3062142130949996,9.239233,5.4922853,13.241441,2
호텔 케니 모슬포,제주,서귀포시,없음,66026,68079,189,1,0,1,1,0,0,0,0,1,0,0,0,1.0,0.0,11.097819028262782,11.128438763247257,5.247024072160486,0.0,-0.5199404050830528,-0.6093158545808424,0.21288183806278216,-0.6596979530153685,-1.0372428106988563,-1.1279521370109558,0.41294296180196677,-1.260372094551657,9.368934,5.3485155,12.00061,2
담모라 리조트,제주,서귀포시,없음,67731,80255,58,1,1,0,0,0,1,0,0,1,0,0,0,1.0,0.0,11.123314020785232,11.292976804552538,4.07753744390572,0.0,-0.49060556217040435,-0.41804619901430345,-0.6023684016900617,-0.6596979530153685,-0.9943657940486185,-0.8560755431561063,-0.7830636041276152,-1.260372094551657,9.776116,5.640096,10.7863865,3
산방산 호텔,제주,서귀포시,없음,103814,131314,67,1,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,11.550365747944074,11.785354295959195,4.219507705176107,0.0,0.0007652558735123795,0.15432522611609248,-0.5034007976643716,-0.6596979530153685,-0.2761579342197277,-0.04248912756200886,-0.6378739452261609,-1.260372094551657,10.237134,5.330167,10.729421,3
블룸 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주",114237,169389,70,1,1,1,0,1,1,0,0,1,1,1,5,1.0,0.0,11.646039270417361,12.039959027580428,4.2626798770413155,1.791759469228055,0.1108483535713153,0.4502942247530133,-0.4733054356367736,0.07473239997536842,-0.11525593699569342,0.37821034511542123,-0.5937227768683971,0.2957923839207132,10.408122,5.5318456,11.977784,2
르메인 호텔 협재,제주,제주시,한림 리조트,165747,168519,16,1,0,1,0,0,0,1,1,0,0,1,1,0.0,1.0,12.018223841610302,12.034809716092953,2.833213344056216,0.6931471805599453,0.5390883666186742,0.444308332209253,-1.4697879139989787,-0.3755815092426466,0.5106773337024273,0.3697018126398527,-2.0556046983214875,-0.6583654975359442,10.814382,5.61112,8.891183,0
