숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1Q Average Price_standard,2Q Average Price_standard,Number of rooms_standard,Number of Accommodations Nearby_standard
히든 클리프 호텔 앤 네이처,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",263604,297748,250,1,1,1,1,1,1,1,1,1,1,0,4,1,0,12.48220705,12.60400613,5.525452939,1.609437912,1.072952988,1.105979037,0.406974866,0,1.290995889,1.310220982,0.697685639,0.137443936
스위트 호텔 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",209336,250179,90,1,1,1,1,1,1,1,1,1,1,1,5,1,0,12.25170067,12.42993594,4.510859507,1.791759469,0.807729597,0.903628595,-0.30029918,0.0747324,0.903334439,1.022593815,-0.339915286,0.295792384
제주 신라 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",470924,521480,429,1,1,1,1,1,1,1,1,1,1,1,5,1,0,13.06245412,13.16442812,6.063785209,1.791759469,1.740592203,1.757449787,0.782246802,0.0747324,2.26684491,2.23624162,1.248225434,0.295792384
롯데호텔 제주,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",453097,474860,500,1,1,1,1,1,1,1,1,1,1,1,22,0,1,13.02386372,13.07077741,6.216606101,3.135494216,1.696189618,1.648584147,0.888778392,0.625520383,2.201944261,2.081496637,1.404511779,1.462842045
WE 호텔 제주,제주,서귀포시,없음,257843,299299,103,1,1,1,1,1,1,1,1,1,1,0,0,1,0,12.46011003,12.60920169,4.644390899,0,1.047527893,1.112018698,-0.207214319,-0.659697953,1.253833522,1.318805942,-0.203355861,-1.260372095
그랜드 조선 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 파르나스 호텔 제주, 블룸 호텔",464753,530672,248,1,1,1,1,1,1,1,1,1,1,1,5,1,0,13.04926351,13.18190129,5.517452896,1.791759469,1.725414927,1.777761732,0.401398028,0.0747324,2.244661177,2.265113645,0.689504182,0.295792384
메이더호텔,제주,제주시,없음,50694,62194,53,1,1,1,1,0,1,0,0,1,1,0,0,0,1,10.83358257,11.03802989,3.988984047,0,-0.823974035,-0.714412974,-0.664099059,-0.659697953,-1.481630908,-1.277340427,-0.873625088,-1.260372095
라마다프라자제주호텔,제주,제주시,"라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",194209,243414,400,1,1,1,1,1,1,0,1,1,1,0,4,0,1,12.17669533,12.40252308,5.993961427,1.609437912,0.72142755,0.871762122,0.733572578,0,0.777191807,0.977297827,1.176818289,0.137443936
오션그랜드호텔,제주,제주시,라마다제주함덕,93748,96703,74,1,1,1,1,0,0,0,0,1,1,0,1,0,1,11.44837628,11.47941005,4.317488114,0.693147181,-0.116585047,-0.201324148,-0.435098562,-0.375581509,-0.447681979,-0.548020128,-0.537671678,-0.658365498
엠버시티호텔(구.아이비호텔),제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",100432,78848,50,0,0,1,1,0,0,0,0,0,0,0,16,0,1,11.51724612,11.27528991,3.931825633,2.833213344,-0.0373425865,-0.438606589,-0.703944244,0.501617453,-0.331857929,-0.885300716,-0.932079658,1.200307501
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,0,1,0,1,0,0,0,0,0,1,0,23,0,1,11.4814864,11.5217068,4.219507705,3.17805383,-0.078488149,-0.152155671,-0.503400798,0.642965288,-0.391997981,-0.478130537,-0.637873945,1.499805578
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,1,1,1,1,1,1,1,1,1,1,0,23,0,1,11.98234768,12.1232235,5.545177444,3.17805383,0.497808821,0.547086234,0.420724837,0.642965288,0.450341447,0.515793496,0.717857428,1.499805578
그라벨호텔,제주,제주시,없음,137810,157521,139,1,1,1,1,0,1,0,0,1,1,0,0,0,1,11.83363846,11.96732041,4.941642423,0,0.326702222,0.3658544,0,-0.659697953,0.200244983,0.258184971,0.100636306,-1.260372095
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,1,1,1,1,0,0,0,0,1,1,0,9,0,1,11.65418194,11.59288202,4.33073334,2.302585093,0.120217409,-0.0694169953,-0.425865302,0.284116444,-0.101561739,-0.360523229,-0.524126095,0.739450533
아스타호텔,제주,제주시,알리바호텔,96779,105350,130,1,1,1,1,1,0,0,1,1,1,0,1,0,1,11.48019564,11.56505291,4.875197323,0.693147181,-0.0799733081,-0.101767344,-0.0463189419,-0.375581509,-0.39416875,-0.406507014,0.03268446,-0.658365498
신라스테이제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",130910,152108,301,1,1,1,1,1,0,0,0,1,1,0,23,0,1,11.78227298,11.93235265,5.710427017,3.17805383,0.267600489,0.325205613,0.535920471,0.642965288,0.113859452,0.20040553,0.886854293,1.499805578
베니키아호텔제주(구. 뉴베니키아호텔제주),제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",96537,88096,188,1,1,1,1,0,1,0,0,1,1,0,2,0,1,11.47769199,11.38619376,5.241747015,1.098612289,-0.0828540355,-0.309684785,0.209203197,-0.209384044,-0.39837934,-0.702047284,0.407546239,-0.306214213
호텔더원,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 어반아일랜드호텔, 그랜드하얏트 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",80969,102705,180,1,1,1,1,1,0,0,0,1,1,0,17,0,1,11.30183399,11.53962582,5.198497031,2.890371758,-0.285198348,-0.131325443,0.179053592,0.525046309,-0.694134135,-0.448521808,0.363315494,1.249950265
탐라스테이,제주,제주시,없음,103197,133900,116,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.54440475,11.804856,4.762173935,0,-0.00609353726,0.176995267,-0.125107653,-0.659697953,-0.286183029,-0.0102652309,-0.0829019104,-1.260372095
어반아일랜드호텔,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",67153,86798,70,1,1,1,1,0,0,0,0,0,1,0,16,0,1,11.11474377,11.37135038,4.262679877,2.833213344,-0.500466597,-0.326939689,-0.473305436,0.501617453,-1.008779089,-0.726573937,-0.593722777,1.200307501
호텔 시리우스,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",118831,134684,280,1,1,1,1,1,1,0,0,1,0,0,14,0,1,11.68546601,11.810694,5.638354669,2.708050201,0.156213231,0.183781733,0.485678769,0.450313909,-0.0489487606,-0.000618738666,0.813147592,1.091601818
그랜드하얏트 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",450143,462907,750,1,1,1,0,1,1,1,1,1,1,0,16,0,1,13.01732281,13.04528361,6.621405652,2.833213344,1.688663574,1.618948506,1.170964543,0.501617453,2.190943884,2.039371623,1.818490792,1.200307501
다인리조트,제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",114866,123583,91,1,1,1,1,0,1,0,0,1,1,0,2,0,1,11.65153022,11.72467637,4.521788577,1.098612289,0.117166302,0.0837892776,-0.292680515,-0.209384044,-0.106021364,-0.142751103,-0.328738382,-0.306214213
올레리조트,제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 수앤수리조트(구.수앤수가족호텔)",240625,240786,53,1,1,1,1,0,1,1,0,1,1,0,3,0,1,12.39099914,12.391668,3.988984047,1.386294361,0.968008077,0.859143475,-0.664099059,-0.0914650655,1.137604078,0.959361293,-0.873625088,-0.0563589005
베스트웨스턴 제주호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",92752,117626,363,1,1,1,1,1,0,0,0,1,1,0,17,0,1,11.43769532,11.67527388,5.897153868,2.890371758,-0.128874679,0.0263606345,0.666087936,0.525046309,-0.465645011,-0.224381949,1.077815467,1.249950265
에코그린리조트(구.에코패밀리호텔),제주,제주시,없음,337526,374804,104,1,1,1,1,0,1,1,1,1,1,0,0,0,1,12.72940079,12.83416117,4.65396035,0,1.357377053,1.373526135,-0.200543446,-0.659697953,1.706721838,1.690520687,-0.193569407,-1.260372095
수앤수리조트(구.수앤수가족호텔),제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 올레리조트",112439,113305,40,1,1,1,1,0,1,0,0,1,1,0,3,0,1,11.63017503,11.6378474,3.713572067,1.386294361,0.0925947633,-0.0171463224,-0.856089012,-0.0914650655,-0.141936138,-0.286224081,-1.155282465,-0.0563589005
그린트리인 서귀포(그랜드밀리언스),제주,서귀포시,"이스턴 호텔 제주, 신신호텔 제주월드컵",45233,56642,305,1,1,1,0,0,0,0,0,1,1,0,2,1,0,10.7196043,10.94452369,5.723585102,1.098612289,-0.955118794,-0.823110621,0.545092985,-0.209384044,-1.673317498,-1.431846619,0.900310758,-0.306214213
더베스트제주성산,제주,서귀포시,"브라운 스위트 제주, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",76811,83605,273,1,1,1,0,1,1,0,0,1,1,0,4,1,0,11.24911616,11.33387057,5.613128106,1.609437912,-0.345856122,-0.370508646,0.468093308,0,-0.78279404,-0.788504198,0.787348977,0.137443936
골든데이지호텔서귀포오션,제주,서귀포시,"오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포, 신신호텔 천지연",67719,73330,281,1,0,1,1,0,0,0,0,1,1,0,8,1,0,11.12313684,11.20273872,5.641907071,2.197224577,-0.490809433,-0.522944784,0.488155152,0.240929865,-0.99466378,-1.005181631,0.81678055,0.647943668
이스턴 호텔 제주,제주,서귀포시,"그린트리인 서귀포(그랜드밀리언스), 신신호텔 제주월드컵",53276,63877,205,1,1,0,0,1,0,0,0,1,1,0,2,1,0,10.88326,11.06473029,5.327876169,1.098612289,-0.766814589,-0.683374699,0.269243911,-0.209384044,-1.398084303,-1.233221664,0.495628506,-0.306214213
라마다제주시티,제주,제주시,없음,99725,132697,357,1,1,1,1,1,0,0,0,1,1,0,0,0,1,11.5101817,11.79583115,5.880532986,0,-0.0454709847,0.166504197,0.654501504,-0.659697953,-0.343738731,-0.0251775625,1.060817681,-1.260372095
라마다제주함덕,제주,제주시,오션그랜드호텔,119826,141779,300,1,1,1,1,1,0,0,0,1,0,1,1,0,1,11.69380431,11.86203184,5.707110265,0.693147181,0.165807384,0.243460159,0.53360836,-0.375581509,-0.0349255503,0.0842100186,0.883462328,-0.658365498
라마다프라자제주,제주,제주시,"라마다프라자제주호텔, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",201093,243578,400,1,1,1,1,1,1,0,1,1,1,0,4,0,1,12.21152774,12.4031966,5.993961427,1.609437912,0.76150614,0.872545065,0.733572578,0,0.835772328,0.978410726,1.176818289,0.137443936
신신호텔 제주공항,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",106753,104896,209,1,1,1,1,0,0,0,0,1,1,0,19,0,1,11.5782824,11.5607342,5.347107531,2.995732274,0.0328864905,-0.106787699,0.282650112,0.568232888,-0.229208213,-0.413643101,0.515295969,1.34145713
제주 리젠트마린 더 블루,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 휘슬락, 오션 스위츠 제주 호텔",95707,114704,327,1,1,1,1,0,1,0,0,1,1,0,4,0,1,11.46905717,11.65011889,5.793013608,1.609437912,-0.0927893668,-0.00288114707,0.593491663,0,-0.41290123,-0.26594712,0.971313664,0.137443936
베스트웨스턴 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",86580,110124,363,1,1,1,1,1,0,0,0,1,1,0,17,0,1,11.36883567,11.60937136,5.897153868,2.890371758,-0.208105419,-0.0502487111,0.666087936,0.525046309,-0.58145193,-0.333276838,1.077815467,1.249950265
브라운 스위트 제주,제주,서귀포시,"더베스트제주성산, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",112093,92545,215,1,0,1,0,0,0,0,0,0,1,0,4,1,0,11.62709308,11.4354611,5.375278408,1.609437912,0.0890486452,-0.252413247,0.302288057,0,-0.14711929,-0.620639751,0.544105665,0.137443936
제주 센트럴 시티,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",93712,120172,240,1,1,0,0,0,0,0,0,1,1,0,23,0,1,11.4479922,11.69668765,5.484796933,3.17805383,-0.117026972,0.0512533854,0.378633526,0.642965288,-0.448327914,-0.188998624,0.656107694,1.499805578
골든튤립제주성산,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",104241,103271,252,1,1,1,0,0,1,0,0,1,1,0,4,1,0,11.5544704,11.54512156,5.533389489,1.609437912,0.00548811538,-0.124936832,0.412507442,0,-0.269254808,-0.439440839,0.705802162,0.137443936
오션팰리스,제주,서귀포시,"골든데이지호텔서귀포오션, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",93738,90235,257,1,1,1,1,0,0,0,0,0,1,0,10,1,0,11.4482696,11.41018374,5.552959585,2.397895273,-0.116707787,-0.281797281,0.426149775,0.323183456,-0.447861381,-0.662407125,0.725816041,0.822228562
코업시티성산,제주,서귀포시,없음,99568,110051,191,1,1,1,1,0,0,0,0,1,1,0,0,1,0,11.50860615,11.60870826,5.257495372,0,-0.0472838361,-0.0510195447,0.220181391,-0.659697953,-0.346388469,-0.334372525,0.423651715,-1.260372095
글로스터 제주,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",90516,99111,464,1,1,1,1,0,0,0,0,1,1,0,19,0,1,11.41329296,11.5040058,6.142037406,2.995732274,-0.156952334,-0.17273245,0.836796483,0.568232888,-0.506684471,-0.507379006,1.328252122,1.34145713
호텔위드제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",77057,78603,295,1,1,1,1,0,0,0,0,0,1,0,20,0,1,11.25231366,11.27217787,5.690359454,3.044522438,-0.342177032,-0.442224228,0.521931354,0.588231653,-0.777416531,-0.89044294,0.866331667,1.38383197
