지역명,소분류명,전체매출금액비율,전체매출수비율
구좌읍,두부,0.22875,1.335625
구좌읍,베이커리,0.22465665236051502,1.3105150214592276
구좌읍,회,0.18946341463414637,0.4643414634146341
구좌읍,갈비,0.18000000000000002,0.48958904109589046
구좌읍,순두부,0.16692307692307692,1.376923076923077
구좌읍,돼지고기,0.16277070063694268,0.3482802547770701
구좌읍,일식,0.16204238921001926,0.5249710982658959
구좌읍,동남아/인도음식,0.1597222222222222,1.1236111111111111
구좌읍,샤브샤브,0.15916666666666668,0.34833333333333333
구좌읍,가정식,0.13275541795665635,0.5537497723547623
남원읍,기타세계요리,0.24,0.6778571428571428
남원읍,아구찜,0.1962962962962963,0.5074074074074074
남원읍,주꾸미,0.19499999999999998,0.5041666666666667
남원읍,회,0.17032388663967613,0.274412955465587
남원읍,퓨전음식,0.12785714285714286,0.4714285714285714
남원읍,돼지고기,0.1216595744680851,0.21574468085106385
남원읍,스테이크,0.12000000000000001,0.22571428571428573
남원읍,일식,0.10896825396825398,0.33214285714285713
남원읍,중식,0.10333333333333333,0.5981642512077295
남원읍,두부,0.10230769230769231,0.6284615384615384
대정읍,회,0.3935112359550562,0.6843820224719102
대정읍,돼지고기,0.3027444794952681,0.5714195583596214
대정읍,고기,0.29,0.4328
대정읍,보쌈,0.23642857142857143,0.41714285714285715
대정읍,베이커리,0.2243820224719101,2.423788121990369
대정읍,양식,0.19391608391608392,1.0511363636363635
대정읍,중식,0.17247974068071312,0.8379416531604538
대정읍,해물탕,0.15200000000000002,0.23766666666666666
대정읍,일식,0.14051502145922748,0.34969957081545067
대정읍,육개장,0.12689655172413794,0.7462068965517241
서귀포시내,김치찌개,0.5520588235294117,7.80735294117647
서귀포시내,소고기,0.5207857142857143,0.8532857142857143
서귀포시내,회,0.3725570776255708,0.6490671885192433
서귀포시내,순두부,0.3256989247311828,2.2263440860215056
서귀포시내,돼지고기,0.265584035151959,0.5569864518491395
서귀포시내,장어,0.24471544715447155,0.3189430894308943
서귀포시내,햄버거,0.24456692913385825,3.5306102362204723
서귀포시내,해물탕,0.2339080459770115,0.5686206896551724
서귀포시내,양식,0.2301392342118349,0.7845251118846346
서귀포시내,대창,0.2275,0.35083333333333333
성산읍,해물탕,0.31285714285714283,0.7414285714285714
성산읍,회,0.2919950124688279,0.44675810473815464
성산읍,고기,0.2673809523809524,0.4751587301587301
성산읍,돼지고기,0.22776049766718506,0.5969206842923794
성산읍,베이커리,0.2119814241486068,2.2825696594427245
성산읍,맥주/요리주점,0.19175182481751823,0.8232116788321168
성산읍,면류,0.17782493368700267,0.9190981432360743
성산읍,일식,0.17569444444444446,0.37961805555555556
성산읍,도너츠,0.16463414634146342,3.066341463414634
성산읍,양식,0.12715370018975333,0.5339089184060721
안덕면,차,10.606111111111112,56.659166666666664
안덕면,소고기,1.3222222222222222,2.3311111111111114
안덕면,햄버거,0.7835443037974683,12.118607594936709
안덕면,구내식당/푸드코트,0.4931800766283525,2.819770114942529
안덕면,곱창,0.4903703703703704,0.7637037037037038
안덕면,갈비,0.37470588235294117,0.5166666666666667
안덕면,도너츠,0.3375,6.910625
안덕면,순대,0.3241803278688524,1.383688524590164
안덕면,주스,0.275,3.216666666666667
안덕면,두부,0.22,1.48
애월읍,도너츠,1.5953333333333333,14.904666666666666
애월읍,소고기,0.714390243902439,1.3585365853658538
애월읍,기타세계요리,0.6480769230769231,1.2373076923076924
애월읍,돼지고기,0.331069587628866,0.5978865979381442
애월읍,갈비,0.3121428571428571,1.1312698412698412
애월읍,디저트,0.3,2.17
애월읍,베이커리,0.2713799283154122,2.326344086021505
애월읍,김치찌개,0.2696,0.8792
애월읍,순두부,0.23477272727272727,1.4895454545454547
애월읍,회,0.22544987146529563,0.29740359897172236
우도면,중식,0.23794478527607366,1.4455828220858895
우도면,아이스크림/빙수,0.12539999999999998,1.6638
우도면,가정식,0.11838405797101449,0.5481014492753623
우도면,일식,0.09271428571428572,0.3542857142857143
우도면,커피,0.08864093959731544,0.8624999999999999
우도면,베이커리,0.08147826086956522,0.6815652173913043
우도면,면류,0.07074626865671642,0.16686567164179103
우도면,주스,0.06944444444444445,1.0133333333333332
우도면,돼지고기,0.06741935483870967,0.1335483870967742
우도면,분식,0.0658139534883721,0.6325581395348837
이호동,뷔페,0.27,0.01
이호동,돼지고기,0.1575,0.405
이호동,단품요리 전문,0.14785714285714285,0.6488095238095238
이호동,기타세계요리,0.11,0.355
이호동,국밥,0.095,0.5
이호동,중식,0.0825,0.525
이호동,오리,0.08,0.395
이호동,가정식,0.06758620689655172,0.2813793103448276
이호동,치킨,0.065,0.355
이호동,베이커리,0.060000000000000005,1.2650000000000001
제주시내,패밀리 레스토랑,0.5813513513513514,1.4909009009009009
제주시내,구내식당/푸드코트,0.5025285481239804,3.4541598694942905
제주시내,두부,0.4376785714285714,2.8057142857142856
제주시내,샌드위치,0.36694444444444446,4.737777777777778
제주시내,샤브샤브,0.3479069767441861,0.9406686046511628
제주시내,햄버거,0.34302975106253797,5.431092896174864
제주시내,순두부,0.32975,2.2626785714285713
제주시내,소고기,0.31297727272727277,0.4591818181818182
제주시내,대창,0.267037037037037,0.4674074074074074
제주시내,돼지고기,0.25270679538141205,0.48664395229982965
조천읍,우동,0.6461728395061729,2.533703703703704
조천읍,샌드위치/토스트,0.59,0.034999999999999996
조천읍,회,0.4604784688995215,0.7700956937799043
조천읍,베이커리,0.44398907103825136,4.365737704918033
조천읍,돼지고기,0.40598095238095233,0.640552380952381
조천읍,두부,0.3939285714285714,1.7971428571428572
조천읍,스테이크,0.3651428571428571,1.0471428571428572
조천읍,패밀리 레스토랑,0.30111111111111116,1.230740740740741
조천읍,햄버거,0.3001986754966887,2.8181456953642385
조천읍,김치찌개,0.29081632653061223,0.7095918367346938
추자면,갈비,0.061000000000000006,0.09585714285714286
추자면,중식,0.055,0.22999999999999998
추자면,국밥,0.05391304347826087,0.2343478260869565
추자면,치킨,0.04711111111111111,0.13644444444444445
추자면,가정식,0.0414375,0.0921875
추자면,분식,0.03729166666666667,0.2304166666666667
추자면,베이커리,0.02875,0.24708333333333332
추자면,단품요리 전문,0.025317919075144506,0.1445664739884393
추자면,회,0.024545454545454547,0.045454545454545456
추자면,커피,0.019761904761904762,0.20190476190476192
표선면,우동,0.36791666666666667,2.1733333333333333
표선면,두부,0.2735714285714286,1.5021428571428572
표선면,햄버거,0.1892948717948718,1.4419871794871797
표선면,회,0.17718562874251498,0.19733532934131737
표선면,돼지고기,0.15283557046979868,0.2704194630872483
표선면,순두부,0.1523076923076923,1.206923076923077
표선면,면류,0.14634980988593158,0.6606083650190114
표선면,감자탕,0.14222222222222222,0.75
표선면,일식,0.10186440677966102,0.3148587570621469
표선면,가정식,0.09815542652970076,0.2796940598481465
한경면,햄버거,0.31,0.865
한경면,돼지고기,0.2974834437086093,0.6411920529801325
한경면,퓨전음식,0.29000000000000004,0.9307142857142857
한경면,베이커리,0.22772972972972974,1.8696756756756756
한경면,장어,0.16074074074074074,0.27
한경면,고기,0.15966216216216217,0.46094594594594596
한경면,김치찌개,0.13785714285714284,0.7253571428571429
한경면,중식,0.11608391608391609,0.5924825174825175
한경면,해장국,0.11473118279569892,0.6980645161290323
한경면,양식,0.1088125,0.43475
한림읍,주류,0.6693442622950819,0.9004918032786885
한림읍,아구찜,0.4342857142857143,1.147142857142857
한림읍,두부,0.255,1.5335714285714286
한림읍,돼지고기,0.23375,0.4536680327868853
한림읍,회,0.21924324324324326,0.30854054054054053
한림읍,아이스크림/빙수,0.215,2.8048979591836734
한림읍,면류,0.20561561561561562,1.0766666666666667
한림읍,베이커리,0.1882321899736148,1.9094459102902372
한림읍,햄버거,0.15847826086956524,1.1664347826086956
한림읍,일식,0.15353846153846154,0.4765934065934066
화북동,장어,0.22,0.305
화북동,감자탕,0.17500000000000002,0.8225
화북동,명태,0.16,0.665
화북동,패밀리 레스토랑,0.16,0.64
화북동,국밥,0.13777777777777778,0.8188888888888889
화북동,막창,0.10000000000000002,0.24666666666666667
화북동,고기,0.09749999999999999,0.23500000000000001
화북동,면류,0.09142857142857143,0.6121428571428572
화북동,커피,0.08576923076923076,1.6334615384615385
화북동,돼지고기,0.08222222222222222,0.2911111111111111
